
Rk,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1,Tariq Abdul-Wahad,SG,24,SAC,49,49,24.6,3.6,8.3,.435,0.1,0.4,.286,3.5,7.9,.443,.442,1.9,2.8,.691,1.5,2.3,3.8,1.0,1.0,0.3,1.4,2.5,9.3
2,Shareef Abdur-Rahim,SF,22,VAN,50,50,40.4,7.7,17.9,.432,0.2,0.7,.306,7.5,17.1,.438,.438,7.4,8.8,.841,2.3,5.2,7.5,3.4,1.4,1.1,3.7,2.7,23.0
3,Cory Alexander,PG,25,DEN,36,4,21.6,2.7,7.2,.373,0.8,2.9,.286,1.9,4.3,.432,.431,1.0,1.2,.841,0.2,1.9,2.1,3.3,1.0,0.1,1.9,2.1,7.3
4,Ray Allen,SG,23,MIL,50,50,34.4,6.1,13.5,.450,1.5,4.2,.356,4.6,9.3,.492,.505,3.5,3.9,.903,1.1,3.1,4.2,3.6,1.1,0.1,2.4,2.3,17.1
5,Peter Aluma,C,25,SAC,2,0,2.5,0.5,1.0,.500,0.0,0.0,,0.5,1.0,.500,.500,0.0,0.0,,0.5,0.5,1.0,0.0,0.5,0.5,1.0,2.0,1.0
6,Derek Anderson,SG,24,CLE,38,13,25.7,3.3,8.3,.398,0.6,1.8,.304,2.7,6.4,.424,.432,3.6,4.3,.836,0.5,2.3,2.9,3.8,1.3,0.1,2.2,1.9,10.8
7,Kenny Anderson,PG,28,BOS,34,33,29.7,4.7,10.5,.451,0.2,0.7,.250,4.6,9.8,.465,.459,2.5,3.0,.832,0.7,2.3,3.0,5.7,1.0,0.1,2.1,2.3,12.1
8,Nick Anderson,SF,31,ORL,47,39,33.6,5.4,13.6,.395,2.0,5.9,.347,3.3,7.7,.433,.470,2.1,3.4,.611,1.1,4.8,5.9,1.9,1.4,0.3,1.8,1.5,14.9
9,Shandon Anderson,SG,25,UTA,50,2,21.4,3.2,7.3,.446,0.3,0.8,.341,3.0,6.4,.460,.466,1.8,2.5,.712,1.0,1.7,2.6,1.1,0.8,0.2,1.3,1.8,8.5
10,Chris Anstey,C,24,DAL,41,4,11.5,1.2,3.4,.360,0.0,0.2,.000,1.2,3.2,.379,.360,0.8,1.2,.708,0.9,1.5,2.4,0.7,0.4,0.3,0.6,2.4,3.3
11,Greg Anthony,PG,31,POR,50,0,16.1,2.1,5.0,.414,1.0,2.5,.392,1.1,2.5,.437,.512,1.2,1.8,.697,0.3,1.0,1.3,2.0,1.3,0.1,1.1,1.5,6.4
12,B.J. Armstrong,PG,31,TOT,32,1,11.2,1.3,2.8,.455,0.2,0.5,.467,1.0,2.3,.452,.494,0.6,0.7,.857,0.1,1.2,1.2,1.9,0.4,0.0,0.8,1.0,3.3
13,Darrell Armstrong,PG,30,ORL,50,15,30.0,4.6,10.4,.441,1.4,3.8,.365,3.2,6.7,.483,.507,3.2,3.6,.904,1.1,2.5,3.6,6.7,2.2,0.1,3.2,1.8,13.8
14,Keith Askins,SF,31,MIA,33,13,12.6,0.6,1.9,.323,0.2,0.9,.276,0.4,1.0,.364,.387,0.2,0.2,.625,0.3,1.0,1.3,0.3,0.5,0.1,0.4,1.8,1.6
15,Stacey Augmon,SF,30,POR,48,21,18.2,1.6,3.6,.448,0.0,0.0,.000,1.6,3.6,.453,.448,1.1,1.6,.684,1.0,1.6,2.6,1.2,1.2,0.4,0.6,1.7,4.3
16,Isaac Austin,C,29,ORL,49,49,25.7,3.8,9.2,.408,0.0,0.1,.286,3.7,9.1,.410,.411,2.1,3.2,.669,1.7,3.1,4.8,1.8,1.0,0.7,2.3,2.6,9.7
17,Anthony Avent,PF,29,UTA,5,0,8.8,0.8,2.6,.308,0.0,0.0,,0.8,2.6,.308,.308,0.2,0.4,.500,1.6,0.8,2.4,0.2,0.4,0.0,1.4,1.2,1.8
18,Thurl Bailey,PF,37,UTA,43,0,12.6,1.8,4.1,.446,0.0,0.0,.000,1.8,4.0,.451,.446,0.6,0.8,.735,0.8,1.3,2.2,0.6,0.2,0.7,0.6,1.8,4.2
19,Toby Bailey,SG,23,PHO,27,10,9.2,1.3,3.2,.395,0.0,0.2,.200,1.2,3.0,.407,.401,0.3,0.5,.692,0.9,1.1,2.0,0.5,0.3,0.1,0.4,0.9,2.9
20,LaMark Baker,PG,29,TOR,1,0,2.0,0.0,1.0,.000,0.0,0.0,,0.0,1.0,.000,.000,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
Rk,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
21,Vin Baker,PF,27,SEA,34,31,34.2,5.8,12.9,.453,0.0,0.1,.000,5.8,12.8,.456,.453,2.1,4.7,.450,2.5,3.7,6.2,1.6,0.9,1.0,2.2,3.6,13.8
22,Charles Barkley*,PF,35,HOU,42,40,36.3,5.7,12.0,.478,0.1,0.6,.160,5.6,11.4,.495,.482,4.6,6.4,.719,4.0,8.3,12.3,4.6,1.0,0.3,2.4,2.1,16.1
23,Dana Barros,PG,31,BOS,50,16,23.1,3.4,7.4,.453,1.3,3.2,.400,2.1,4.2,.493,.539,1.3,1.5,.877,0.3,1.8,2.1,4.2,1.0,0.1,1.8,1.3,9.3
24,Brent Barry,SG,27,CHI,37,30,31.9,3.8,9.6,.396,1.4,4.6,.302,2.4,5.0,.484,.469,2.1,2.7,.772,1.1,2.8,3.9,3.1,1.1,0.3,1.9,2.6,11.1
25,Drew Barry,SG,25,SEA,17,0,10.8,0.6,1.9,.313,0.5,1.4,.333,0.1,0.5,.250,.438,0.5,0.8,.692,0.2,1.0,1.2,1.7,0.4,0.1,0.7,1.4,2.2
26,Jon Barry,SG,29,SAC,43,0,17.1,1.4,3.2,.428,0.6,1.8,.304,0.8,1.4,.593,.514,1.7,2.0,.845,0.6,1.7,2.2,2.6,1.2,0.1,1.1,1.4,5.0
27,Tony Battie,C,22,BOS,50,15,22.4,2.9,5.7,.519,0.0,0.1,.000,2.9,5.6,.525,.519,0.8,1.2,.672,1.9,4.1,6.0,1.1,0.6,1.4,0.9,3.2,6.7
28,Corey Beck,PG,27,TOT,24,0,7.5,0.8,1.6,.462,0.0,0.0,1.000,0.7,1.6,.447,.474,0.3,0.6,.533,0.3,0.9,1.2,0.8,0.4,0.1,0.5,1.1,1.9
29,Benoit Benjamin,C,34,PHI,6,0,5.5,0.3,1.2,.286,0.0,0.0,,0.3,1.2,.286,.286,0.0,0.0,,0.5,0.8,1.3,0.2,0.0,0.0,0.5,1.0,0.7
