
Rk,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P,2P,2PA,2P,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1,Quincy Acy,PF,25,SAC,22,7,11.0,1.4,2.5,.574,0.2,0.4,.500,1.2,2.1,.587,.611,0.7,1.0,.727,0.9,1.5,2.4,0.4,0.4,0.4,0.3,1.3,3.7
2,Jordan Adams,SG,21,MEM,2,0,7.5,1.0,3.0,.333,0.0,0.5,.000,1.0,2.5,.400,.333,1.5,2.5,.600,0.0,1.0,1.0,1.5,1.5,0.0,1.0,1.0,3.5
3,Steven Adams,C,22,OKC,44,44,24.3,2.8,4.7,.600,0.0,0.0,,2.8,4.7,.600,.600,1.5,2.4,.625,2.5,3.8,6.3,0.6,0.4,1.2,0.9,2.8,7.1
4,Arron Afflalo,SG,30,NYK,38,38,33.0,5.5,11.9,.462,1.3,3.5,.371,4.2,8.4,.500,.517,1.6,1.8,.870,0.3,3.3,3.7,1.8,0.3,0.2,1.0,2.3,13.9
5,Alexis Ajinca,C,27,NOP,33,6,12.4,2.2,4.2,.529,0.0,0.0,.000,2.2,4.2,.533,.529,0.5,0.6,.947,1.2,2.9,4.1,0.5,0.3,0.5,0.5,2.2,5.0
6,Cole Aldrich,C,27,LAC,22,2,11.8,2.4,4.5,.530,0.0,0.0,,2.4,4.5,.530,.530,1.3,1.8,.725,1.1,2.7,3.8,0.9,0.7,0.7,0.9,2.1,6.1
7,LaMarcus Aldridge,PF,30,SAS,40,40,29.6,6.6,13.6,.487,0.0,0.3,.000,6.6,13.3,.496,.487,2.7,3.4,.806,2.6,6.3,8.9,1.3,0.3,0.9,1.4,2.2,15.9
8,Cliff Alexander,PF,20,POR,7,0,4.4,0.7,1.4,.500,0.0,0.0,,0.7,1.4,.500,.500,0.0,0.0,,0.3,0.6,0.9,0.0,0.1,0.3,0.1,0.0,1.4
9,Lavoy Allen,PF,26,IND,43,20,21.7,2.6,5.2,.493,0.0,0.0,,2.6,5.2,.493,.493,0.4,0.7,.571,2.1,3.3,5.4,1.0,0.4,0.5,1.0,1.8,5.5
10,Tony Allen,SF,34,MEM,38,31,24.1,2.7,6.4,.420,0.2,0.6,.375,2.4,5.8,.425,.438,0.9,1.6,.574,1.7,2.8,4.5,1.0,1.7,0.3,1.1,2.9,6.5
11,Al-Farouq Aminu,SF,25,POR,46,45,29.1,3.8,9.2,.411,1.5,4.2,.352,2.3,5.0,.461,.492,1.4,2.0,.725,1.2,5.3,6.5,1.5,0.8,0.7,1.6,2.2,10.5
12,Lou Amundson,PF,33,NYK,18,0,7.7,0.9,1.9,.457,0.0,0.0,,0.9,1.9,.457,.457,0.5,1.0,.500,0.7,1.3,2.0,0.4,0.3,0.2,0.3,1.7,2.3
13,Chris Andersen,C,37,MIA,7,1,5.1,0.6,1.4,.400,0.3,0.7,.400,0.3,0.7,.400,.500,0.4,0.6,.750,0.4,0.9,1.3,0.4,0.1,0.4,0.3,0.6,1.9
14,James Anderson,SG,26,SAC,22,6,9.7,0.6,2.3,.275,0.4,1.2,.346,0.2,1.1,.200,.363,0.4,0.5,.900,0.3,0.9,1.2,0.5,0.2,0.1,0.6,0.8,2.1
15,Justin Anderson,SG,22,DAL,24,1,7.4,0.8,2.3,.357,0.3,1.3,.200,0.6,1.1,.538,.411,0.3,0.5,.583,0.0,1.1,1.2,0.3,0.3,0.2,0.4,0.6,2.2
16,Kyle Anderson,SF,22,SAS,41,2,12.2,1.4,2.7,.505,0.1,0.4,.333,1.2,2.3,.531,.527,0.7,1.0,.714,0.2,1.9,2.1,1.1,0.4,0.4,0.6,1.0,3.6
17,Ryan Anderson,PF,27,NOP,41,6,31.3,5.9,13.6,.436,2.1,5.4,.391,3.8,8.2,.466,.513,2.9,3.3,.881,1.9,4.1,6.0,1.0,0.6,0.4,1.6,1.7,16.8
18,Giannis Antetokounmpo,SF,21,MIL,44,43,34.1,5.9,11.6,.504,0.3,1.3,.228,5.6,10.3,.538,.517,3.5,4.6,.771,1.4,5.7,7.2,2.8,1.0,1.2,2.5,3.5,15.5
19,Carmelo Anthony,SF,31,NYK,42,42,34.6,7.6,17.6,.433,1.4,4.1,.331,6.3,13.5,.464,.472,4.7,5.7,.817,1.5,6.0,7.5,4.0,0.9,0.5,2.5,2.4,21.3
20,Joel Anthony,C,33,DET,12,0,4.2,0.2,0.4,.400,0.0,0.0,,0.2,0.4,.400,.400,0.4,0.5,.833,0.5,0.7,1.2,0.1,0.2,0.3,0.1,0.6,0.8
Rk,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P,2P,2PA,2P,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
21,Keith Appling,PG,23,ORL,2,0,7.5,1.0,3.0,.333,0.0,0.5,.000,1.0,2.5,.400,.333,1.0,1.0,1.000,0.0,0.5,0.5,0.0,0.5,0.0,1.0,1.5,3.0
22,Trevor Ariza,SF,30,HOU,45,45,34.3,4.2,10.4,.406,2.2,5.9,.365,2.1,4.5,.460,.510,1.3,1.8,.738,0.7,4.0,4.6,1.9,1.8,0.2,1.4,2.2,11.9
23,Darrell Arthur,PF,27,DEN,41,10,21.1,3.2,6.9,.473,0.4,1.0,.415,2.8,5.9,.483,.504,0.5,0.6,.800,1.2,2.9,4.1,1.2,0.9,0.7,0.9,2.5,7.4
24,Omer Asik,C,29,NOP,36,32,16.9,1.2,2.3,.500,0.0,0.0,,1.2,2.3,.500,.500,1.1,1.7,.633,1.7,3.8,5.5,0.4,0.3,0.4,1.0,2.0,3.4
25,D.J. Augustin,PG,28,OKC,32,0,15.4,1.4,3.7,.376,0.7,1.9,.383,0.7,1.8,.368,.474,0.8,1.1,.765,0.2,1.0,1.1,1.9,0.4,0.1,0.9,1.2,4.3
26,Jeff Ayres,F,28,LAC,1,0,5.0,0.0,0.0,,0.0,0.0,,0.0,0.0,,,2.0,2.0,1.000,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,2.0
27,Luke Babbitt,SF,26,NOP,21,5,14.3,1.3,3.5,.370,0.8,2.4,.314,0.5,1.0,.500,.479,0.4,0.5,.727,0.2,2.3,2.5,0.5,0.0,0.1,0.2,1.8,3.7
