
Rk,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P,2P,2PA,2P,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1,Shareef Abdur-Rahim,PF,28,POR,54,49,34.6,6.2,12.4,.503,0.3,0.7,.385,6.0,11.7,.510,.514,4.1,4.7,.866,2.3,5.0,7.3,2.1,0.9,0.5,2.2,2.8,16.8
2,Cory Alexander,SG,31,CHA,16,1,12.6,1.0,3.1,.327,0.5,1.2,.421,0.5,1.9,.267,.408,0.6,0.8,.750,0.5,1.3,1.8,2.3,0.6,0.1,1.2,1.8,3.1
3,Malik Allen,PF,26,TOT,36,1,14.4,2.3,4.9,.475,0.0,0.0,,2.3,4.9,.475,.475,0.7,0.8,.929,1.1,1.6,2.8,0.5,0.3,0.6,0.5,1.5,5.4
4,Ray Allen,SG,29,SEA,78,78,39.3,8.2,19.2,.428,2.7,7.1,.376,5.5,12.0,.459,.498,4.8,5.5,.883,1.0,3.4,4.4,3.7,1.1,0.1,2.2,2.1,23.9
5,Tony Allen,SG,23,BOS,77,34,16.4,2.4,5.0,.475,0.2,0.4,.387,2.2,4.6,.483,.491,1.5,2.0,.737,1.1,1.8,2.9,0.8,1.0,0.3,1.0,2.0,6.4
6,Rafer Alston,PG,28,TOR,80,78,34.0,5.0,12.2,.414,1.7,4.9,.357,3.3,7.3,.451,.485,2.4,3.2,.740,0.5,3.0,3.5,6.4,1.5,0.1,2.1,2.7,14.2
7,Chris Andersen,C,26,NOH,67,2,21.3,2.9,5.3,.534,0.0,0.0,.000,2.9,5.3,.538,.534,2.0,2.8,.689,2.0,4.1,6.1,1.1,0.2,1.5,1.0,2.1,7.7
8,Derek Anderson,SG,30,POR,47,32,26.4,3.2,8.3,.389,1.2,3.2,.384,2.0,5.1,.392,.463,1.5,1.9,.805,0.5,2.2,2.7,3.0,0.8,0.1,1.5,1.9,9.2
9,Kenny Anderson,PG,34,TOT,43,20,17.3,2.0,4.7,.423,0.1,0.3,.462,1.8,4.4,.420,.438,0.6,0.9,.730,0.6,1.5,2.0,2.4,0.8,0.0,1.1,2.0,4.7
10,Shandon Anderson,SF-SG,31,TOT,66,5,17.7,1.5,3.3,.452,0.1,0.4,.172,1.4,2.8,.495,.463,0.8,1.0,.818,0.6,2.3,2.9,1.1,0.6,0.2,0.8,2.1,3.9
11,Carmelo Anthony,SF,20,DEN,75,75,34.8,7.1,16.4,.431,0.6,2.1,.266,6.5,14.3,.455,.448,6.1,7.6,.796,1.9,3.8,5.7,2.6,0.9,0.4,3.0,3.1,20.8
12,Rafael Araujo,C,24,TOR,59,41,12.5,1.3,3.0,.434,0.0,0.1,.333,1.3,2.9,.436,.437,0.7,0.9,.782,1.0,2.1,3.1,0.3,0.4,0.1,0.9,2.7,3.3
13,Gilbert Arenas,PG,23,WAS,80,80,40.9,8.2,19.0,.431,2.6,7.0,.365,5.6,12.0,.469,.498,6.5,8.0,.814,1.0,3.7,4.7,5.1,1.7,0.3,3.0,3.1,25.5
14,Trevor Ariza,SF,19,NYK,80,12,17.3,2.2,4.9,.442,0.0,0.2,.231,2.1,4.7,.449,.446,1.5,2.2,.695,1.1,1.9,3.0,1.1,0.9,0.2,0.9,1.9,5.9
15,Darrell Armstrong,PG,36,TOT,66,16,15.0,1.3,4.2,.321,0.4,1.7,.252,0.9,2.5,.367,.372,0.9,1.0,.853,0.5,1.2,1.7,2.7,0.7,0.1,1.0,1.4,4.0
16,Carlos Arroyo,PG,25,TOT,70,16,20.7,2.4,6.1,.389,0.1,0.4,.267,2.3,5.7,.398,.399,1.7,2.1,.799,0.4,1.1,1.5,4.0,0.6,0.1,1.5,2.0,6.6
17,Chucky Atkins,PG,30,LAL,82,82,35.4,4.7,11.1,.426,2.1,5.5,.387,2.6,5.5,.466,.523,2.0,2.5,.803,0.4,2.0,2.4,4.4,0.9,0.0,1.8,2.2,13.6
18,Stacey Augmon,SF,36,ORL,55,7,12.1,1.2,3.0,.407,0.0,0.0,,1.2,3.0,.407,.407,1.0,1.4,.740,0.8,1.0,1.8,0.7,0.4,0.1,0.6,1.5,3.5
19,Maurice Baker,PG,25,TOT,5,0,3.8,0.0,0.2,.000,0.0,0.0,,0.0,0.2,.000,.000,0.0,0.0,,0.2,0.2,0.4,0.2,0.2,0.0,0.2,0.6,0.0
20,Vin Baker,PF-C,33,TOT,27,0,7.6,0.5,1.6,.310,0.0,0.0,.000,0.5,1.5,.317,.310,0.3,0.6,.529,0.6,0.8,1.4,0.4,0.1,0.1,0.6,1.4,1.3
Rk,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P,2P,2PA,2P,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
21,Marcus Banks,PG,23,BOS,81,2,14.1,1.4,3.5,.402,0.3,0.7,.356,1.2,2.8,.414,.439,1.5,2.0,.742,0.4,1.2,1.6,1.9,0.8,0.2,1.0,1.8,4.6
22,Leandro Barbosa,PG,22,PHO,63,6,17.3,2.7,5.6,.475,0.8,2.2,.367,1.9,3.4,.544,.547,0.9,1.1,.797,0.5,1.6,2.1,2.0,0.5,0.1,1.4,2.0,7.0
23,Matt Barnes,SF,24,SAC,43,9,16.6,1.4,3.5,.411,0.1,0.5,.227,1.3,3.0,.442,.427,0.8,1.3,.603,1.1,2.0,3.1,1.3,0.7,0.2,1.0,1.9,3.8
24,Andre Barrett,PG,22,TOT,38,1,12.7,1.2,3.3,.363,0.4,1.4,.269,0.8,1.9,.431,.419,0.4,0.5,.737,0.3,0.8,1.1,1.8,0.5,0.0,0.7,1.3,3.1
25,Brent Barry,SG,33,SAS,81,8,21.5,2.4,5.7,.423,1.2,3.5,.357,1.2,2.2,.525,.532,1.4,1.7,.837,0.4,2.0,2.3,2.2,0.5,0.2,0.8,1.5,7.4
26,Jon Barry,SG,35,TOT,69,2,21.8,2.3,5.3,.438,1.0,2.4,.430,1.3,2.9,.443,.534,0.9,1.0,.873,0.4,1.9,2.3,2.4,0.9,0.1,1.0,1.4,6.6
