
Rk,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P,2P,2PA,2P,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1,Alex Acker,SG,26,TOT,25,0,8.0,1.2,3.0,.395,0.3,0.8,.350,0.9,2.2,.411,.441,0.2,0.4,.500,0.3,0.6,1.0,0.5,0.2,0.2,0.3,0.4,2.9
2,Hassan Adams,SG,24,TOR,12,0,4.3,0.3,1.1,.308,0.0,0.0,,0.3,1.1,.308,.308,0.3,0.5,.500,0.1,0.5,0.6,0.1,0.1,0.1,0.3,0.3,0.9
3,Arron Afflalo,SG,23,DET,74,8,16.7,1.8,4.1,.437,0.6,1.4,.402,1.2,2.6,.456,.508,0.8,1.0,.817,0.4,1.4,1.8,0.6,0.4,0.2,0.6,1.9,4.9
4,Maurice Ager,SG,24,NJN,20,0,4.9,0.8,2.2,.349,0.0,0.3,.000,0.8,1.9,.405,.349,0.2,0.4,.500,0.2,0.4,0.5,0.2,0.1,0.1,0.2,0.9,1.7
5,Blake Ahearn,PG,24,SAS,3,0,6.3,0.7,2.0,.333,0.7,1.3,.500,0.0,0.7,.000,.500,0.7,0.7,1.000,0.0,0.3,0.3,0.7,0.3,0.0,0.3,1.0,2.7
6,Alexis Ajinca,PF,20,CHA,31,4,5.9,0.8,2.2,.362,0.0,0.1,.000,0.8,2.2,.373,.362,0.6,0.9,.714,0.3,0.7,1.0,0.1,0.2,0.2,0.4,1.1,2.3
7,LaMarcus Aldridge,PF,23,POR,81,81,37.1,7.4,15.3,.484,0.1,0.3,.250,7.3,15.0,.489,.486,3.2,4.1,.781,2.9,4.6,7.5,1.9,1.0,1.0,1.5,2.6,18.1
8,Joe Alexander,SF,22,MIL,59,0,12.1,1.7,4.2,.416,0.3,0.8,.348,1.5,3.4,.432,.449,1.0,1.4,.699,0.7,1.2,1.9,0.7,0.3,0.5,0.9,1.8,4.7
9,Malik Allen,PF,30,MIL,49,3,11.8,1.5,3.5,.429,0.0,0.0,.000,1.5,3.4,.432,.429,0.2,0.4,.476,0.7,1.4,2.1,0.7,0.1,0.2,0.4,1.8,3.2
10,Ray Allen,SG,33,BOS,79,79,36.4,6.3,13.2,.480,2.5,6.2,.409,3.8,7.0,.542,.575,3.0,3.2,.952,0.8,2.7,3.5,2.8,0.9,0.2,1.7,2.0,18.2
11,Tony Allen,SG,27,BOS,46,2,19.3,3.0,6.2,.482,0.1,0.6,.222,2.8,5.6,.510,.493,1.7,2.4,.725,0.5,1.8,2.3,1.4,1.2,0.5,1.7,2.1,7.8
12,Morris Almond,SG,23,UTA,25,1,10.2,1.3,3.2,.407,0.2,0.7,.294,1.1,2.6,.438,.438,0.8,1.0,.808,0.4,1.1,1.4,0.3,0.2,0.2,0.6,1.2,3.7
13,Rafer Alston,PG,32,TOT,77,76,31.8,4.1,10.6,.385,1.5,4.3,.338,2.6,6.4,.417,.454,2.0,2.7,.750,0.4,2.5,2.9,5.3,1.4,0.1,1.8,1.8,11.7
14,Louis Amundson,PF,26,PHO,76,0,13.7,1.8,3.3,.536,0.0,0.0,.000,1.8,3.3,.538,.536,0.7,1.6,.442,1.7,1.9,3.6,0.4,0.4,0.9,0.7,2.0,4.2
15,Chris Andersen,C,30,DEN,71,1,20.6,2.3,4.1,.548,0.0,0.1,.200,2.2,4.0,.560,.551,1.8,2.5,.718,2.3,3.9,6.2,0.4,0.6,2.5,1.0,2.5,6.4
