
Rk,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1,Kareem Abdul-Jabbar*,C,33,LAL,80,,37.2,10.5,18.2,.574,0.0,0.0,.000,10.5,18.2,.574,.574,5.3,6.9,.766,2.5,7.8,10.3,3.4,0.7,2.9,3.1,3.1,26.2
2,Tom Abernethy,SF,26,TOT,39,,7.6,0.6,1.5,.424,0.0,0.0,.000,0.6,1.5,.431,.424,0.3,0.6,.591,0.5,0.7,1.2,0.5,0.2,0.1,0.2,0.9,1.6
3,Alvan Adams,C,26,PHO,75,,27.4,6.1,11.6,.526,0.0,0.0,,6.1,11.6,.526,.526,2.7,3.5,.768,2.1,5.2,7.3,4.6,1.4,0.9,3.0,3.0,14.9
4,Darrell Allums,PF,22,DAL,22,,12.5,1.0,3.0,.343,0.0,0.0,.000,1.0,3.0,.348,.343,0.6,1.0,.591,0.9,2.1,3.0,1.1,0.2,0.4,1.0,2.3,2.7
5,Tiny Archibald*,PG,32,BOS,80,72,35.3,4.8,9.6,.499,0.0,0.1,.000,4.8,9.5,.505,.499,4.3,5.2,.816,0.5,1.8,2.2,7.7,0.9,0.2,3.3,2.5,13.8
6,Dennis Awtrey,C,32,SEA,47,,12.9,0.9,2.0,.473,0.0,0.0,,0.9,2.0,.473,.473,0.3,0.4,.700,0.7,1.6,2.3,1.1,0.3,0.2,0.7,1.8,2.2
7,James Bailey,PF,23,SEA,82,,31.0,5.4,10.8,.499,0.0,0.0,.500,5.4,10.8,.499,.500,3.1,4.4,.709,2.3,5.1,7.4,1.2,0.9,1.7,2.7,4.0,14.0
8,Greg Ballard,SF,26,WSB,82,,31.8,6.7,14.5,.463,0.1,0.4,.219,6.6,14.1,.470,.466,2.0,2.4,.847,2.0,5.0,7.1,2.4,1.4,0.5,1.4,2.4,15.5
9,Mike Bantom,SF,29,IND,76,,31.3,5.7,11.6,.489,0.0,0.1,.000,5.7,11.5,.492,.489,2.6,3.7,.708,2.0,3.6,5.6,3.2,1.1,1.1,2.6,3.7,14.0
10,Billy Ray Bates,SG,24,POR,77,,20.3,5.7,11.7,.487,0.2,0.7,.259,5.5,11.0,.501,.494,2.2,2.6,.854,0.9,1.1,2.0,2.5,1.1,0.1,1.9,1.6,13.8
11,Mel Bennett,PF,26,UTA,28,,11.2,0.9,2.1,.433,0.0,0.1,.000,0.9,2.1,.448,.433,1.9,2.9,.654,1.2,2.1,3.3,0.5,0.1,0.4,1.1,2.0,3.8
12,Kent Benson,C,26,DET,59,,33.2,6.2,13.1,.473,0.0,0.1,.000,6.2,13.0,.475,.473,3.3,4.3,.772,2.1,4.7,6.8,2.9,1.2,1.1,3.2,3.1,15.7
13,Henry Bibby,PG,31,SDC,73,,15.2,1.6,4.2,.386,0.4,1.3,.337,1.2,2.9,.408,.438,0.9,1.3,.684,0.3,0.7,1.0,2.7,0.6,0.0,1.0,1.2,4.6
14,Larry Bird*,PF,24,BOS,82,82,39.5,8.8,18.3,.478,0.2,0.9,.270,8.5,17.4,.489,.485,3.5,4.0,.863,2.3,8.6,10.9,5.5,2.0,0.8,3.5,2.9,21.2
15,Otis Birdsong,SG,25,KCK,71,,36.5,10.0,18.4,.544,0.1,0.5,.286,9.9,17.9,.551,.547,4.5,6.4,.697,1.7,2.0,3.6,3.3,1.3,0.3,2.4,2.4,24.6
16,Norman Black,SG,23,DET,3,,9.3,1.0,3.3,.300,0.0,0.0,,1.0,3.3,.300,.300,0.7,2.7,.250,0.0,0.7,0.7,0.7,0.3,0.0,0.3,0.7,2.7
17,Ron Boone,SG,34,UTA,52,,22.0,3.1,7.1,.431,0.2,0.8,.282,2.9,6.4,.449,.446,1.4,1.8,.798,0.3,1.3,1.6,3.1,0.6,0.2,2.1,2.4,7.8
18,Winford Boynes,SG,23,DAL,44,,17.2,2.8,7.1,.387,0.0,0.0,,2.8,7.1,.387,.387,1.0,1.3,.818,0.5,1.2,1.7,0.8,0.5,0.4,1.6,1.8,6.5
19,Dudley Bradley,SG,23,IND,82,,22.8,3.2,6.8,.474,0.0,0.2,.125,3.2,6.6,.484,.476,1.5,2.2,.702,0.9,1.5,2.4,2.3,2.3,0.5,1.5,2.9,8.0
