
Rk,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1,Zaid Abdul-Aziz,C,28,HOU,65,,22.3,3.6,8.3,.437,,,,3.6,8.3,.437,.437,2.4,3.1,.783,2.4,5.1,7.5,1.3,0.6,1.1,,2.0,9.7
2,Kareem Abdul-Jabbar*,C,27,MIL,65,,42.3,12.5,24.4,.513,,,,12.5,24.4,.513,.513,5.0,6.6,.763,3.0,11.0,14.0,4.1,1.0,3.3,,3.2,30.0
3,Don Adams,SF,27,DET,51,,27.0,2.5,6.2,.403,,,,2.5,6.2,.403,.403,0.9,1.5,.577,1.2,3.5,4.8,1.5,1.4,0.4,,3.5,5.9
4,Rick Adelman,PG,28,TOT,58,,18.5,2.1,5.0,.423,,,,2.1,5.0,.423,.423,1.3,1.8,.709,0.4,1.2,1.6,1.9,1.2,0.1,,1.7,5.5
5,Lucius Allen,PG,27,TOT,66,,35.7,7.7,17.7,.437,,,,7.7,17.7,.437,.437,3.6,4.6,.778,1.4,2.8,4.2,5.6,2.1,0.4,,3.3,19.1
6,Dan Anderson,SG,24,POR,43,,10.5,1.1,2.4,.448,,,,1.1,2.4,.448,.448,0.6,0.7,.867,0.2,0.5,0.7,1.9,0.4,0.0,,1.0,2.8
7,Tiny Archibald*,PG,26,KCO,82,,39.6,9.3,20.3,.456,,,,9.3,20.3,.456,.456,8.0,9.1,.872,0.6,2.1,2.7,6.8,1.5,0.1,,2.3,26.5
8,Jim Ard,C,26,BOS,59,,12.2,1.5,4.5,.335,,,,1.5,4.5,.335,.335,0.8,1.1,.738,1.0,2.4,3.4,0.7,0.2,0.5,,1.6,3.8
9,Dennis Awtrey,C,26,PHO,82,,34.6,4.1,8.8,.470,,,,4.1,8.8,.470,.470,1.6,2.4,.677,3.0,5.6,8.6,4.2,0.7,0.6,,2.8,9.9
10,Gus Bailey,SG,23,HOU,47,,9.5,1.1,2.7,.405,,,,1.1,2.7,.405,.405,0.4,0.9,.488,0.5,1.3,1.7,1.3,0.4,0.3,,1.1,2.6
11,Mike Bantom,SF,23,PHO,82,,27.3,5.1,11.1,.461,,,,5.1,11.1,.461,.461,2.3,3.2,.714,2.6,4.2,6.7,1.9,0.8,0.6,,3.3,12.5
12,Jim Barnett,SG,30,TOT,73,,24.3,3.9,8.9,.437,,,,3.9,8.9,.437,.437,2.7,3.3,.836,0.8,1.6,2.5,2.4,0.6,0.2,,2.2,10.5
13,Rick Barry*,SF,30,GSW,80,,40.4,12.9,27.7,.464,,,,12.9,27.7,.464,.464,4.9,5.5,.904,1.2,4.6,5.7,6.2,2.9,0.4,,2.8,30.6
14,Butch Beard,PG,27,GSW,82,,30.7,5.0,9.4,.528,,,,5.0,9.4,.528,.528,2.8,3.4,.832,1.4,2.4,3.9,4.2,1.6,0.1,,3.6,12.8
15,Zelmo Beaty,C,35,LAL,69,,17.6,2.0,4.5,.439,,,,2.0,4.5,.439,.439,1.6,2.0,.800,1.3,3.4,4.7,1.1,0.7,0.4,,1.9,5.5
16,Ron Behagen,PF,24,KCO,81,,27.2,4.1,10.3,.399,,,,4.1,10.3,.399,.399,2.5,3.3,.754,1.8,5.5,7.3,1.9,0.7,0.5,,3.7,10.7
17,Dennis Bell,SF,23,NYK,52,,8.9,1.3,3.5,.376,,,,1.3,3.5,.376,.376,0.4,0.7,.556,0.9,1.1,2.0,0.5,0.4,0.2,,1.0,3.0
18,Walt Bellamy*,C,35,NOJ,1,,14.0,2.0,2.0,1.000,,,,2.0,2.0,1.000,1.000,2.0,2.0,1.000,0.0,5.0,5.0,0.0,0.0,0.0,,2.0,6.0
19,Leon Benbow,SG,24,CHI,39,,6.5,0.9,2.4,.372,,,,0.9,2.4,.372,.372,0.4,0.5,.833,0.4,0.6,1.0,0.6,0.3,0.2,,1.1,2.2
