
Rk,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1,Zaid Abdul-Aziz,C,26,HOU,48,,18.8,3.1,7.8,.397,,,,3.1,7.8,.397,.397,2.5,3.4,.735,,,6.3,1.1,,,,2.3,8.7
2,Kareem Abdul-Jabbar*,C,25,MIL,76,,42.8,12.9,23.3,.554,,,,12.9,23.3,.554,.554,4.3,6.1,.713,,,16.1,5.0,,,,2.7,30.2
3,Mahdi Abdul-Rahman,PG,30,TOT,55,,13.9,1.9,4.7,.418,,,,1.9,4.7,.418,.418,0.9,1.0,.825,,,1.6,2.3,,,,2.0,4.7
4,Don Adams,SF,25,TOT,74,,25.3,3.6,9.2,.391,,,,3.6,9.2,.391,.391,2.0,2.5,.788,,,6.0,1.6,,,,3.1,9.1
5,Rick Adelman,PG,26,POR,76,,24.0,2.8,6.9,.408,,,,2.8,6.9,.408,.408,1.0,1.3,.716,,,2.1,3.9,,,,2.0,6.6
6,Lucius Allen,PG,25,MIL,80,,33.7,6.8,14.1,.484,,,,6.8,14.1,.484,.484,1.8,2.5,.715,,,3.5,5.3,,,,2.4,15.5
7,Tiny Archibald*,PG,24,KCO,80,,46.0,12.9,26.3,.488,,,,12.9,26.3,.488,.488,8.3,9.8,.847,,,2.8,11.4,,,,2.6,34.0
8,Dennis Awtrey,C,24,TOT,82,,20.6,1.8,3.7,.479,,,,1.8,3.7,.479,.479,1.0,1.9,.562,,,5.5,2.7,,,,2.9,4.6
9,Dick Barnett,SG,36,NYK,51,,10.1,1.7,4.4,.389,,,,1.7,4.4,.389,.389,0.3,0.6,.533,,,0.8,1.0,,,,1.0,3.8
10,Jim Barnett,PG,28,GSW,82,,27.0,4.8,10.3,.467,,,,4.8,10.3,.467,.467,2.2,2.6,.843,,,3.1,3.7,,,,1.8,11.8
11,Rick Barry*,SF,28,GSW,82,,37.5,9.0,19.9,.452,,,,9.0,19.9,.452,.452,4.4,4.8,.902,,,8.9,4.9,,,,3.0,22.3
12,Butch Beard,PG,25,SEA,73,,19.2,2.6,6.0,.439,,,,2.6,6.0,.439,.439,1.4,1.9,.714,,,2.4,3.4,,,,1.9,6.6
13,Walt Bellamy*,C,33,ATL,74,,37.9,6.1,12.2,.505,,,,6.1,12.2,.505,.505,3.8,7.1,.538,,,13.0,2.4,,,,3.3,16.1
14,Henry Bibby,PG,23,NYK,55,,8.6,1.4,3.7,.380,,,,1.4,3.7,.380,.380,1.3,1.6,.849,,,1.5,1.2,,,,1.2,4.2
15,Dave Bing*,PG,29,DET,82,,41.0,8.4,18.8,.448,,,,8.4,18.8,.448,.448,5.6,6.8,.814,,,3.6,7.8,,,,2.8,22.4
