
Rk,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1,Alaa Abdelnaby,PF,23,POR,71,1,13.2,2.5,5.1,.493,0.0,0.0,,2.5,5.1,.493,.493,1.1,1.4,.752,1.1,2.5,3.7,0.4,0.4,0.2,0.9,1.9,6.1
2,Mahmoud Abdul-Rauf,PG,22,DEN,81,11,19.0,4.4,10.4,.421,0.4,1.2,.330,4.0,9.3,.433,.440,1.2,1.3,.870,0.3,1.1,1.4,2.4,0.5,0.0,1.4,1.6,10.3
3,Mark Acres,C,29,ORL,68,6,13.6,1.1,2.2,.517,0.0,0.0,.333,1.1,2.2,.520,.520,0.8,1.0,.761,1.4,2.3,3.7,0.3,0.4,0.2,0.5,2.1,3.1
4,Michael Adams,PG,29,WSB,78,78,35.8,6.2,15.8,.393,1.6,4.9,.324,4.6,10.9,.425,.444,4.0,4.6,.869,0.7,3.2,4.0,7.6,1.9,0.1,2.7,2.1,18.1
5,Rafael Addison,SF,27,NJN,76,8,15.5,2.5,5.7,.433,0.2,0.6,.286,2.3,5.0,.452,.449,0.7,1.0,.737,0.9,1.3,2.2,0.9,0.4,0.4,0.6,1.4,5.8
6,Mark Aguirre,SF,32,DET,75,12,21.1,4.5,10.5,.431,0.2,0.9,.211,4.3,9.5,.453,.440,2.1,3.1,.687,0.9,2.3,3.1,1.7,0.7,0.1,1.4,2.3,11.3
7,Danny Ainge,SG,32,POR,81,6,19.7,3.7,8.3,.442,1.0,2.8,.339,2.7,5.5,.496,.500,1.3,1.6,.824,0.5,1.3,1.8,2.5,0.9,0.2,0.9,1.8,9.7
8,Victor Alexander,C,22,GSW,80,28,16.9,3.0,5.7,.529,0.0,0.0,.000,3.0,5.7,.531,.529,1.3,1.9,.691,1.3,2.9,4.2,0.4,0.6,0.8,1.1,2.2,7.4
9,Greg Anderson,PF,27,DEN,82,82,34.1,4.7,10.4,.456,0.0,0.0,.000,4.7,10.4,.458,.456,2.0,3.3,.623,4.1,7.4,11.5,1.0,1.1,0.8,2.5,3.2,11.5
10,Kenny Anderson,PG,21,NJN,64,13,17.0,2.9,7.5,.390,0.0,0.2,.231,2.9,7.3,.394,.393,1.1,1.5,.745,0.6,1.4,2.0,3.2,1.0,0.1,1.5,1.1,7.0
11,Nick Anderson,SG,24,ORL,60,59,36.7,8.0,17.4,.463,0.5,1.4,.353,7.5,16.0,.472,.477,3.4,5.1,.667,1.6,4.8,6.4,2.7,1.6,0.6,2.1,2.2,19.9
12,Ron Anderson,SF,33,PHI,82,11,29.7,5.7,12.3,.465,0.5,1.5,.331,5.2,10.7,.485,.486,1.7,2.0,.877,1.2,2.2,3.4,1.6,1.0,0.1,1.3,1.6,13.7
13,Willie Anderson,SG,25,SAS,57,55,33.1,5.5,12.0,.455,0.2,1.0,.232,5.2,11.0,.475,.465,1.9,2.4,.775,1.1,4.2,5.3,5.3,0.9,0.9,2.5,2.6,13.1
14,Michael Ansley,SF,24,TOT,10,0,4.5,0.8,1.8,.444,0.0,0.0,,0.8,1.8,.444,.444,0.5,0.6,.833,0.2,0.4,0.6,0.2,0.0,0.0,0.3,0.7,2.1
15,Greg Anthony,PG,24,NYK,82,1,18.4,2.0,5.3,.370,0.1,0.7,.145,1.9,4.6,.403,.379,1.4,1.9,.741,0.4,1.3,1.7,3.8,0.7,0.1,1.2,2.1,5.5
16,B.J. Armstrong,PG,24,CHI,82,3,22.9,4.1,8.5,.481,0.4,1.1,.402,3.7,7.4,.492,.506,1.3,1.6,.806,0.2,1.5,1.8,3.2,0.6,0.1,1.1,1.1,9.9
17,Vincent Askew,SG,25,GSW,80,10,18.7,2.4,4.7,.509,0.0,0.1,.100,2.4,4.6,.520,.511,1.4,2.0,.694,1.1,1.8,2.9,2.4,0.6,0.3,1.1,1.6,6.2
