
Rk,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1,Kareem Abdul-Jabbar*,C,34,LAL,76,76,35.2,9.9,17.1,.579,0.0,0.0,.000,9.9,17.1,.580,.579,4.1,5.8,.706,2.3,6.4,8.7,3.0,0.8,2.7,3.0,2.9,23.9
2,Alvan Adams,C,27,PHO,79,75,30.3,6.4,13.0,.494,0.0,0.0,.000,6.4,13.0,.494,.494,2.3,2.9,.781,1.7,5.7,7.4,4.5,1.4,1.0,2.5,3.4,15.1
3,Mark Aguirre,SF,22,DAL,51,20,28.8,7.5,16.1,.465,0.5,1.4,.352,7.0,14.7,.475,.480,3.3,4.8,.680,1.7,3.1,4.9,3.2,0.7,0.4,2.6,3.0,18.7
4,Danny Ainge,SG,22,BOS,53,1,10.6,1.5,4.2,.357,0.1,0.3,.294,1.4,3.8,.363,.369,1.1,1.2,.862,0.5,0.6,1.1,1.6,0.7,0.1,1.0,1.6,4.1
5,Tiny Archibald*,PG,33,BOS,68,51,31.9,4.5,9.6,.472,0.1,0.2,.375,4.4,9.4,.475,.477,3.5,4.6,.747,0.4,1.3,1.7,8.0,0.8,0.0,2.6,1.9,12.6
6,Dennis Awtrey,C,33,POR,10,3,12.1,0.5,1.5,.333,0.0,0.0,,0.5,1.5,.333,.333,0.5,0.9,.556,0.7,0.7,1.4,0.8,0.1,0.2,0.6,2.8,1.5
7,Carl Bailey,C,23,POR,1,0,7.0,1.0,1.0,1.000,0.0,0.0,,1.0,1.0,1.000,1.000,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,2.0
8,James Bailey,PF,24,TOT,77,0,19.1,3.4,6.6,.517,0.0,0.0,,3.4,6.6,.517,.517,1.8,2.9,.612,1.6,3.4,5.1,0.8,0.5,1.1,1.8,3.5,8.6
9,Greg Ballard,SF,27,WSB,79,79,37.3,7.9,16.5,.475,0.1,0.3,.409,7.7,16.3,.476,.479,3.0,3.6,.830,1.7,6.3,8.0,3.2,1.7,0.3,1.5,2.6,18.8
10,Gene Banks,SF,22,SAS,80,4,21.3,3.9,8.2,.477,0.0,0.1,.000,3.9,8.1,.483,.477,1.8,2.7,.684,2.0,3.2,5.1,1.8,0.7,0.2,1.3,2.5,9.6
11,Mike Bantom,SF,30,TOT,82,38,24.6,4.1,8.7,.469,0.0,0.1,.333,4.0,8.6,.470,.471,2.0,3.3,.629,2.1,3.2,5.4,1.4,0.8,0.7,1.8,3.3,10.2
12,Billy Ray Bates,SG,25,POR,75,0,16.4,4.4,9.2,.473,0.2,0.5,.293,4.2,8.7,.484,.481,2.2,2.8,.787,0.7,0.7,1.4,1.5,0.5,0.1,1.2,1.3,11.1
13,Mel Bennett,PF,27,CLE,3,0,7.7,0.7,1.3,.500,0.0,0.0,,0.7,1.3,.500,.500,0.3,2.0,.167,0.3,0.7,1.0,0.0,0.3,0.0,1.3,0.7,1.7
14,Kent Benson,C,27,DET,75,72,32.9,5.4,10.7,.505,0.0,0.1,.273,5.4,10.5,.508,.507,1.7,2.1,.804,2.9,5.8,8.7,2.1,0.9,1.3,2.1,2.9,12.5
15,Larry Bird*,PF,25,BOS,77,58,38.0,9.2,18.4,.503,0.1,0.7,.212,9.1,17.7,.514,.507,4.3,4.9,.863,2.6,8.3,10.9,5.8,1.9,0.9,3.3,3.2,22.9
16,Otis Birdsong,SG,26,NJN,37,22,27.7,6.1,13.0,.469,0.0,0.3,.000,6.1,12.7,.479,.469,2.0,3.4,.583,0.8,1.8,2.6,3.4,0.8,0.1,1.7,2.0,14.2
17,Rolando Blackman,SG,22,DAL,82,16,24.1,5.4,10.4,.513,0.0,0.0,.250,5.3,10.4,.515,.514,2.6,3.4,.768,1.2,1.9,3.1,1.3,0.6,0.4,1.4,1.5,13.3
18,Ray Blume,SG,23,CHI,49,2,11.1,2.1,4.5,.459,0.1,0.4,.222,2.0,4.2,.480,.468,0.4,0.6,.643,0.3,0.6,0.8,1.4,0.5,0.0,1.1,1.2,4.6
19,Alex Bradley,SF,22,NYK,39,0,8.5,1.4,2.6,.524,0.0,0.0,.000,1.4,2.6,.529,.524,0.7,1.2,.604,0.8,0.9,1.7,0.3,0.3,0.1,0.7,0.9,3.5
20,Charles Bradley,SG,22,BOS,51,1,6.6,1.1,2.4,.451,0.0,0.0,.000,1.1,2.4,.455,.451,0.8,1.2,.677,0.2,0.5,0.7,0.4,0.3,0.1,0.7,1.2,3.0
Rk,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
21,Dudley Bradley,SG,24,PHO,64,3,14.6,2.0,4.4,.445,0.0,0.1,.250,1.9,4.3,.448,.447,1.2,1.6,.740,0.5,0.9,1.4,1.3,1.2,0.2,1.1,1.8,5.1
