
Rk,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1,Kareem Abdul-Jabbar*,C,39,LAL,78,78,31.3,7.2,12.7,.564,0.0,0.0,.333,7.2,12.7,.565,.564,3.1,4.4,.714,1.9,4.8,6.7,2.6,0.6,1.2,2.4,3.1,17.5
2,Alvan Adams,C,32,PHO,68,40,24.9,4.6,9.1,.503,0.0,0.0,.000,4.6,9.1,.504,.503,2.0,2.5,.788,1.3,3.6,5.0,3.3,0.9,0.5,2.0,3.0,11.1
3,Michael Adams,PG,24,WSB,63,0,20.7,2.5,6.2,.407,0.4,1.6,.275,2.1,4.6,.454,.443,1.7,2.0,.847,0.6,1.3,2.0,3.9,1.3,0.1,1.3,1.4,7.2
4,Rafael Addison,SF,22,PHO,62,12,11.5,2.4,5.3,.441,0.3,0.8,.320,2.1,4.5,.463,.465,0.8,1.0,.797,0.7,1.0,1.7,0.7,0.4,0.1,0.9,1.2,5.8
5,Mark Aguirre,SF,27,DAL,80,80,33.3,9.8,19.9,.495,0.7,1.9,.353,9.2,18.0,.510,.512,5.4,7.0,.770,2.3,3.1,5.3,3.2,1.1,0.4,2.7,3.0,25.7
6,Danny Ainge,SG,27,BOS,71,66,35.2,5.8,11.9,.486,1.2,2.7,.443,4.6,9.2,.498,.536,2.1,2.3,.897,0.7,2.7,3.4,5.6,1.4,0.2,2.0,2.7,14.8
7,Mark Alarie,PF,23,DEN,64,25,17.3,3.4,6.9,.490,0.0,0.1,.222,3.4,6.8,.495,.492,1.0,1.6,.663,1.1,2.2,3.3,1.2,0.3,0.4,0.9,2.2,7.9
8,Richard Anderson,PF,26,HOU,51,0,6.1,1.2,2.7,.424,0.1,0.3,.250,1.1,2.4,.447,.439,0.4,0.6,.759,0.5,1.1,1.5,0.6,0.1,0.1,0.4,0.7,2.8
9,Ron Anderson,SF,28,IND,63,0,11.4,2.2,4.7,.473,0.0,0.1,.000,2.2,4.6,.481,.473,1.3,1.7,.787,1.2,1.2,2.4,0.9,0.5,0.0,0.9,1.0,5.8
10,John Bagley,PG,26,CLE,72,67,30.3,4.3,10.2,.426,0.4,1.4,.301,3.9,8.7,.447,.447,1.6,1.9,.831,0.8,2.7,3.5,5.3,1.3,0.1,2.3,1.6,10.7
11,James Bailey,PF,29,NJN,34,2,15.9,3.3,7.0,.469,0.0,0.0,,3.3,7.0,.469,.469,1.7,2.4,.725,1.4,2.6,4.0,0.6,0.4,0.7,1.6,3.5,8.3
12,Thurl Bailey,PF,25,UTA,81,2,26.6,5.7,12.8,.447,0.0,0.0,.000,5.7,12.8,.448,.447,2.3,2.9,.805,1.8,3.5,5.3,1.3,0.5,1.1,1.5,1.9,13.8
13,Greg Ballard,SF,32,GSW,82,7,19.3,3.0,6.9,.440,0.2,0.5,.375,2.8,6.4,.445,.453,0.8,1.1,.747,1.2,2.9,4.1,1.3,0.6,0.2,0.9,2.0,7.1
14,Gene Banks,SF,27,CHI,63,39,28.9,4.0,7.3,.539,0.0,0.1,.000,4.0,7.3,.545,.539,1.8,2.3,.767,1.8,3.1,4.9,2.7,0.8,0.3,1.8,2.7,9.7
15,Charles Barkley*,PF,23,PHI,68,62,40.3,8.2,13.8,.594,0.3,1.5,.202,7.9,12.3,.643,.606,6.3,8.3,.761,5.7,8.9,14.6,4.9,1.8,1.5,4.7,3.7,23.0
16,John Battle,SG,24,ATL,64,8,12.6,2.3,4.9,.457,0.0,0.2,.000,2.3,4.8,.472,.457,1.5,2.0,.738,0.3,0.7,0.9,1.9,0.5,0.1,0.9,1.2,6.0
17,William Bedford,C,23,PHO,50,18,19.6,2.8,7.2,.397,0.0,0.0,.000,2.8,7.1,.398,.397,1.0,1.7,.581,1.6,3.3,4.9,1.1,0.4,0.7,1.7,2.5,6.7
18,Benoit Benjamin,C,22,LAC,72,61,31.0,4.4,9.9,.449,0.0,0.0,.000,4.4,9.9,.450,.449,2.6,3.7,.715,1.9,6.3,8.1,1.9,0.8,2.6,2.6,3.5,11.5
19,Kent Benson,C,32,UTA,73,2,12.3,1.9,4.3,.443,0.0,0.1,.286,1.9,4.2,.447,.446,0.6,0.8,.810,1.1,2.1,3.2,0.5,0.5,0.4,0.6,1.9,4.5
20,Walter Berry,SF-PF,22,TOT,63,45,25.2,6.5,12.2,.531,0.0,0.0,.000,6.5,12.1,.533,.531,3.0,4.6,.649,2.2,2.7,4.9,1.7,0.6,0.6,2.4,3.1,15.9
Rk,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
21,Joe Binion,PF,25,POR,11,0,4.6,0.4,0.9,.400,0.0,0.0,,0.4,0.9,.400,.400,0.5,0.9,.600,0.7,0.9,1.6,0.1,0.2,0.2,0.3,0.5,1.3
22,Larry Bird*,SF,30,BOS,74,73,40.6,10.6,20.2,.525,1.2,3.0,.400,9.4,17.2,.547,.555,5.6,6.1,.910,1.7,7.5,9.2,7.6,1.8,0.9,3.2,2.5,28.1
23,Otis Birdsong,SG,31,NJN,7,6,18.1,2.7,6.0,.452,0.0,0.1,.000,2.7,5.9,.463,.452,0.9,1.3,.667,0.4,0.6,1.0,2.4,0.4,0.0,1.3,2.3,6.3
24,Uwe Blab,C,24,DAL,30,0,5.3,0.7,1.7,.392,0.0,0.0,,0.7,1.7,.392,.392,0.4,0.9,.464,0.4,0.8,1.2,0.4,0.1,0.3,0.5,1.1,1.8
25,Rolando Blackman,SG,27,DAL,80,80,34.5,7.8,15.8,.495,0.1,0.2,.333,7.8,15.6,.497,.497,5.2,5.9,.884,1.2,2.3,3.5,3.3,0.8,0.3,2.2,1.8,21.0
26,Manute Bol,C,24,WSB,82,12,18.9,1.3,2.8,.446,0.0,0.0,.000,1.3,2.8,.448,.446,0.5,0.8,.672,1.0,3.4,4.4,0.1,0.2,3.7,0.7,2.3,3.1
27,Sam Bowie,C,25,POR,5,5,32.6,6.0,13.2,.455,0.0,0.0,,6.0,13.2,.455,.455,4.0,6.0,.667,2.8,3.8,6.6,1.8,0.2,2.0,3.0,3.8,16.0
28,Dudley Bradley,SG,29,MIL,68,2,13.2,1.1,3.1,.357,0.2,0.7,.260,0.9,2.4,.387,.387,0.7,0.9,.810,0.5,1.0,1.5,1.0,1.5,0.1,0.5,1.7,3.1
29,Adrian Branch,SF,23,LAL,32,0,6.8,1.5,3.0,.500,0.0,0.1,.000,1.5,2.9,.511,.500,1.3,1.7,.778,0.7,0.9,1.7,0.5,0.5,0.1,0.8,1.2,4.3
30,Randy Breuer,C,26,MIL,76,10,19.3,3.2,6.5,.485,0.0,0.0,,3.2,6.5,.485,.485,1.6,2.7,.584,1.7,2.9,4.6,0.6,0.7,0.8,1.3,3.0,7.9
31,Frank Brickowski,PF-C,27,TOT,44,0,11.1,1.4,2.8,.508,0.0,0.1,.000,1.4,2.7,.525,.508,1.1,1.6,.714,1.1,1.5,2.6,0.4,0.5,0.1,0.7,2.7,4.0
32,Junior Bridgeman,SF,33,MIL,34,4,12.3,2.3,5.0,.462,0.0,0.2,.167,2.3,4.9,.473,.465,0.5,0.6,.800,0.4,1.1,1.5,1.0,0.3,0.1,0.4,1.5,5.1
33,Mike Brittain,C,23,SAS,6,0,4.8,0.7,1.5,.444,0.0,0.0,,0.7,1.5,.444,.444,0.2,0.3,.500,0.3,0.3,0.7,0.3,0.2,0.0,0.3,0.5,1.5
34,Michael Brooks,SF,28,IND,10,0,14.8,1.3,3.7,.351,0.0,0.0,,1.3,3.7,.351,.351,0.7,1.0,.700,0.9,1.9,2.8,1.1,0.9,0.0,1.1,1.9,3.3
35,Mike Brown,C,23,CHI,62,3,13.2,1.7,3.2,.527,0.0,0.0,,1.7,3.2,.527,.527,0.7,1.2,.639,1.1,2.3,3.5,0.4,0.3,0.1,1.0,2.1,4.2
36,Tony Brown,SG,26,NJN,77,67,30.4,4.6,10.5,.442,0.1,0.3,.250,4.6,10.3,.447,.445,2.0,2.7,.738,1.1,1.8,2.8,3.4,1.2,0.2,2.0,3.5,11.3
37,Michael Cage,PF,25,LAC,80,76,36.5,5.7,11.0,.521,0.0,0.0,.000,5.7,10.9,.522,.521,4.3,5.8,.730,4.4,7.1,11.5,1.6,1.2,0.8,2.1,2.8,15.7
38,Tony Campbell,SF,24,DET,40,0,8.3,1.4,3.6,.393,0.0,0.1,.000,1.4,3.6,.401,.393,0.6,1.0,.615,0.5,0.9,1.5,0.5,0.3,0.0,0.9,1.0,3.5
39,Rick Carlisle,SG,27,BOS,42,0,7.1,0.7,2.2,.326,0.1,0.4,.313,0.6,1.8,.329,.353,0.4,0.5,.750,0.2,0.5,0.7,0.8,0.2,0.0,0.6,0.7,1.9
40,Antoine Carr,PF,25,ATL,65,2,10.7,2.1,4.1,.506,0.0,0.0,.333,2.0,4.0,.508,.508,1.1,1.6,.709,0.9,1.5,2.4,0.5,0.2,0.7,0.6,2.2,5.3
Rk,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
41,Kenny Carr,PF,31,POR,49,43,29.4,4.1,8.1,.504,0.0,0.0,.000,4.1,8.1,.506,.504,2.6,3.4,.746,2.7,7.5,10.2,1.7,0.6,0.3,2.1,3.2,10.8
42,Joe Barry Carroll,C,28,GSW,81,81,33.6,8.5,18.0,.472,0.0,0.0,,8.5,18.0,.472,.472,4.2,5.3,.787,2.1,5.1,7.3,2.6,1.1,1.5,2.8,3.1,21.2
43,Bill Cartwright,C,29,NYK,58,50,34.3,5.8,10.9,.531,0.0,0.0,,5.8,10.9,.531,.531,6.0,7.6,.790,2.3,5.4,7.7,1.7,0.7,0.4,2.2,3.2,17.5
44,Terry Catledge,PF,23,WSB,78,77,27.6,5.3,10.7,.495,0.0,0.1,.000,5.3,10.7,.497,.495,2.6,4.3,.594,3.2,4.0,7.2,0.7,0.6,0.2,1.9,2.5,13.1
45,Tom Chambers,PF,27,SEA,82,82,36.8,8.0,17.6,.456,0.7,1.8,.372,7.4,15.9,.466,.475,6.5,7.7,.849,2.0,4.7,6.6,3.0,1.0,0.6,3.3,3.7,23.3
