
Rk,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1,Zaid Abdul-Aziz,PF,23,MIL,80,,20.5,3.0,6.8,.434,,,,3.0,6.8,.434,.434,1.5,2.3,.643,,,7.5,0.8,,,,2.1,7.4
2,Kareem Abdul-Jabbar*,C,22,MIL,82,,43.1,11.4,22.1,.518,,,,11.4,22.1,.518,.518,5.9,9.1,.653,,,14.5,4.1,,,,3.5,28.8
3,Mahdi Abdul-Rahman,PG,27,ATL,82,,33.6,6.0,12.9,.467,,,,6.0,12.9,.467,.467,3.3,4.0,.809,,,4.0,6.8,,,,3.2,15.3
4,Rick Adelman,PG,23,SDR,35,,20.5,2.7,7.1,.389,,,,2.7,7.1,.389,.389,1.9,2.6,.747,,,2.3,3.2,,,,2.6,7.4
5,Lucius Allen,PG,22,SEA,81,,22.4,3.8,8.5,.442,,,,3.8,8.5,.442,.442,2.2,3.1,.731,,,2.6,4.2,,,,2.5,9.8
6,Wally Anderzunas,SF,24,CIN,44,,8.4,1.5,3.8,.392,,,,1.5,3.8,.392,.392,0.7,1.0,.630,,,1.9,0.2,,,,1.1,3.6
7,John Arthurs,G,22,MIL,11,,7.8,1.1,3.2,.343,,,,1.1,3.2,.343,.343,1.0,1.4,.733,,,1.3,1.5,,,,1.4,3.2
8,Al Attles,PG,33,SFW,45,,15.0,1.7,4.5,.386,,,,1.7,4.5,.386,.386,1.7,2.5,.664,,,1.6,3.2,,,,2.3,5.1
9,Jim Barnes,C,28,BOS,77,,13.6,2.3,5.6,.410,,,,2.3,5.6,.410,.410,1.2,1.7,.742,,,4.5,0.7,,,,3.0,5.9
10,Dick Barnett,SG,33,NYK,82,,33.8,6.0,12.7,.475,,,,6.0,12.7,.475,.475,2.8,4.0,.714,,,2.7,3.6,,,,2.7,14.9
11,Jim Barnett,SG,25,SDR,80,,26.3,5.6,12.5,.451,,,,5.6,12.5,.451,.451,3.6,4.6,.790,,,3.8,3.6,,,,2.8,14.9
12,Johnny Baum,SF,23,CHI,3,,4.3,1.0,3.7,.273,,,,1.0,3.7,.273,.273,0.0,0.0,,,,1.3,0.0,,,,0.3,2.0
13,Elgin Baylor*,SF,35,LAL,54,,41.0,9.5,19.5,.486,,,,9.5,19.5,.486,.486,5.1,6.6,.773,,,10.4,5.4,,,,2.4,24.0
14,Butch Beard,PG,22,ATL,72,,13.1,2.5,5.4,.467,,,,2.5,5.4,.467,.467,1.9,2.3,.828,,,1.9,1.7,,,,1.7,7.0
15,Walt Bellamy*,C,30,TOT,79,,25.7,4.4,8.5,.523,,,,4.4,8.5,.523,.523,2.7,4.7,.576,,,8.9,1.8,,,,3.3,11.6
16,Dave Bing*,PG,26,DET,70,,33.3,8.2,18.5,.444,,,,8.2,18.5,.444,.444,6.5,8.3,.783,,,4.3,6.0,,,,2.8,22.9
17,John Block,PF,25,SDR,82,,26.2,5.5,12.5,.442,,,,5.5,12.5,.442,.442,3.5,4.5,.782,,,7.4,1.7,,,,3.4,14.5
18,Tom Boerwinkle,C,24,CHI,81,,28.8,4.3,9.6,.449,,,,4.3,9.6,.449,.449,1.9,2.8,.664,,,12.5,2.8,,,,3.1,10.4
19,Bob Boozer,PF,32,SEA,82,,31.1,6.0,12.3,.491,,,,6.0,12.3,.491,.491,3.2,3.9,.822,,,8.7,1.3,,,,2.9,15.2
20,Nate Bowman,C,26,NYK,81,,9.2,1.2,2.9,.417,,,,1.2,2.9,.417,.417,0.5,1.0,.519,,,3.2,0.6,,,,2.3,2.9
Rk,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
21,Bill Bradley*,SF,26,NYK,67,,31.3,6.2,13.4,.460,,,,6.2,13.4,.460,.460,2.2,2.6,.824,,,3.6,4.0,,,,3.3,14.5
22,Bill Bridges,PF,30,ATL,82,,39.9,5.4,11.4,.475,,,,5.4,11.4,.475,.475,4.0,5.5,.734,,,14.4,4.2,,,,3.6,14.8
23,Em Bryant,PG,31,BOS,71,,22.8,3.0,7.3,.404,,,,3.0,7.3,.404,.404,1.9,2.5,.746,,,3.8,3.3,,,,2.8,7.8
24,Joe Caldwell,SG,28,ATL,82,,34.8,8.2,16.2,.507,,,,8.2,16.2,.507,.507,4.6,6.7,.688,,,5.0,3.5,,,,3.1,21.1
25,Fred Carter,SG,24,BAL,76,,16.0,2.1,5.8,.358,,,,2.1,5.8,.358,.358,1.1,1.5,.690,,,2.5,1.6,,,,1.8,5.2
26,Wilt Chamberlain*,C,33,LAL,12,,42.1,10.8,18.9,.568,,,,10.8,18.9,.568,.568,5.8,13.1,.446,,,18.4,4.1,,,,2.6,27.3
27,Jerry Chambers,SF,26,PHO,79,,14.4,3.6,8.3,.430,,,,3.6,8.3,.430,.430,1.2,1.6,.728,,,2.8,0.7,,,,2.1,8.3
28,Don Chaney,SG,23,BOS,63,,13.3,1.8,5.1,.359,,,,1.8,5.1,.359,.359,1.3,1.7,.752,,,2.4,1.1,,,,1.9,5.0
29,Len Chappell,SF,29,MIL,75,,15.1,3.2,7.0,.465,,,,3.2,7.0,.465,.465,1.8,2.8,.640,,,3.7,0.7,,,,1.7,8.3
30,Archie Clark,PG,28,PHI,76,,36.5,7.8,15.8,.496,,,,7.8,15.8,.496,.496,4.1,5.2,.785,,,4.0,5.0,,,,2.6,19.7
31,Barry Clemens,SF,26,SEA,78,,19.1,3.5,7.6,.454,,,,3.5,7.6,.454,.454,1.4,1.8,.793,,,4.1,1.5,,,,2.4,8.3
32,Mel Counts,C,28,LAL,81,,27.1,5.4,12.6,.427,,,,5.4,12.6,.427,.427,1.9,2.5,.776,,,8.4,2.0,,,,3.8,12.6
33,Bob Cousy*,PG,41,CIN,7,,4.9,0.1,0.4,.333,,,,0.1,0.4,.333,.333,0.4,0.4,1.000,,,0.7,1.4,,,,1.6,0.7
34,Freddie Crawford,SG,28,MIL,77,,17.3,3.2,6.6,.480,,,,3.2,6.6,.480,.480,1.3,1.9,.682,,,2.4,2.9,,,,2.4,7.6
35,Billy Cunningham*,SF,26,PHI,81,,39.4,9.9,21.1,.469,,,,9.9,21.1,.469,.469,6.3,8.6,.729,,,13.6,4.3,,,,4.1,26.1
36,Dick Cunningham,C,23,MIL,60,,6.9,0.9,2.4,.369,,,,0.9,2.4,.369,.369,0.4,0.6,.667,,,2.7,0.5,,,,1.2,2.1
37,Bob Dandridge,SF,22,MIL,81,,30.4,5.4,11.0,.485,,,,5.4,11.0,.485,.485,2.5,3.3,.754,,,7.7,3.6,,,,3.4,13.2
38,Jim Davis,C,28,ATL,82,,32.0,5.3,11.5,.464,,,,5.3,11.5,.464,.464,2.9,3.9,.755,,,9.7,2.9,,,,4.1,13.6
39,Mike Davis,SG,23,BAL,56,,23.8,4.6,10.5,.444,,,,4.6,10.5,.444,.444,2.7,3.4,.776,,,2.3,2.0,,,,3.1,11.9
40,Dave DeBusschere*,PF,29,NYK,79,,33.3,6.2,13.7,.451,,,,6.2,13.7,.451,.451,2.2,3.2,.688,,,10.0,2.5,,,,3.1,14.6
Rk,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
41,Connie Dierking,C,33,CIN,76,,32.2,6.9,16.4,.419,,,,6.9,16.4,.419,.419,3.0,4.0,.752,,,8.2,2.2,,,,3.6,16.7
