
Rk,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P,2P,2PA,2P,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1,Quincy Acy,PF,22,TOR,29,0,11.8,1.4,2.6,.560,0.0,0.1,.500,1.4,2.5,.562,.567,1.1,1.3,.816,1.0,1.6,2.7,0.4,0.4,0.5,0.6,1.8,4.0
2,Jeff Adrien,PF,26,CHA,52,5,13.7,1.4,3.2,.429,0.0,0.0,.000,1.4,3.2,.434,.429,1.3,1.9,.650,1.3,2.5,3.8,0.7,0.3,0.5,0.6,1.5,4.0
3,Arron Afflalo,SF,27,ORL,64,64,36.0,6.2,14.1,.439,1.1,3.8,.300,5.1,10.4,.489,.478,3.0,3.5,.857,0.5,3.3,3.7,3.2,0.6,0.2,2.2,2.1,16.5
4,Josh Akognon,PG,26,DAL,3,0,3.0,0.7,1.3,.500,0.3,0.7,.500,0.3,0.7,.500,.625,0.0,0.0,,0.0,0.3,0.3,0.3,0.0,0.0,0.0,1.0,1.7
5,Cole Aldrich,C,24,TOT,45,0,8.6,1.0,1.8,.550,0.0,0.0,,1.0,1.8,.550,.550,0.3,0.4,.600,0.7,2.0,2.7,0.2,0.1,0.5,0.5,1.3,2.2
6,LaMarcus Aldridge,PF,27,POR,74,74,37.7,8.6,17.8,.484,0.0,0.2,.143,8.6,17.6,.488,.485,3.8,4.7,.810,2.4,6.7,9.1,2.6,0.8,1.2,1.9,2.5,21.1
7,Lavoy Allen,C,23,PHI,79,37,21.1,2.6,5.7,.454,0.0,0.0,.000,2.6,5.7,.455,.454,0.5,0.8,.717,2.0,3.0,5.0,0.9,0.3,0.7,0.7,2.3,5.8
8,Ray Allen,SG,37,MIA,79,0,25.8,3.7,8.2,.449,1.8,4.2,.419,1.9,4.0,.480,.555,1.8,2.0,.886,0.5,2.2,2.7,1.7,0.8,0.2,1.3,1.6,10.9
9,Tony Allen,SG,31,MEM,79,79,26.7,3.6,8.1,.445,0.0,0.3,.125,3.6,7.8,.458,.447,1.7,2.4,.717,1.5,3.1,4.6,1.2,1.5,0.6,1.2,2.7,8.9
10,Al-Farouq Aminu,SF,22,NOH,76,71,27.2,3.0,6.2,.475,0.1,0.3,.211,2.9,6.0,.486,.479,1.3,1.8,.737,1.8,5.9,7.7,1.4,1.2,0.7,1.5,2.0,7.3
11,Louis Amundson,PF,30,TOT,39,0,9.5,0.8,2.1,.395,0.0,0.0,,0.8,2.1,.395,.395,0.3,0.9,.333,1.2,1.5,2.7,0.3,0.4,0.3,0.5,1.4,1.9
12,Chris Andersen,C,34,MIA,42,0,14.9,1.7,2.9,.577,0.0,0.1,.667,1.6,2.9,.575,.585,1.5,2.2,.677,1.4,2.7,4.1,0.4,0.4,1.0,0.6,2.1,4.9
13,Alan Anderson,SF,30,TOR,65,2,23.0,3.6,9.5,.383,1.5,4.4,.333,2.2,5.1,.426,.460,1.9,2.3,.857,0.5,1.8,2.3,1.6,0.7,0.1,1.2,2.0,10.7
14,James Anderson,SG-SF,23,TOT,39,2,10.3,1.3,3.2,.413,0.5,1.5,.350,0.8,1.7,.470,.496,0.6,0.7,.857,0.5,1.4,1.8,1.1,0.4,0.1,0.6,0.6,3.8
15,Ryan Anderson,PF,24,NOH,81,22,30.9,5.8,13.8,.423,2.6,6.9,.382,3.2,6.9,.464,.519,1.9,2.2,.844,2.4,4.0,6.4,1.2,0.5,0.4,1.2,2.2,16.2
16,Carmelo Anthony,PF,28,NYK,67,67,37.0,10.0,22.2,.449,2.3,6.2,.379,7.6,16.0,.476,.502,6.3,7.6,.830,2.0,4.9,6.9,2.6,0.8,0.5,2.6,3.1,28.7
17,Joel Anthony,C,30,MIA,62,3,9.1,0.6,1.1,.515,0.0,0.0,,0.6,1.1,.515,.515,0.3,0.5,.607,0.7,1.1,1.9,0.2,0.2,0.7,0.4,0.8,1.4
