
Rk,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1,Alaa Abdelnaby,PF,25,BOS,13,0,12.2,1.8,4.2,.436,0.0,0.0,,1.8,4.2,.436,.436,1.2,1.9,.640,0.9,2.6,3.5,0.2,0.2,0.2,1.3,1.5,4.9
2,Mahmoud Abdul-Rauf,PG,24,DEN,80,78,32.7,7.4,16.0,.460,0.5,1.7,.316,6.8,14.3,.476,.476,2.7,2.9,.956,0.3,1.8,2.1,4.5,1.0,0.1,1.9,1.9,18.0
3,Michael Adams,PG,31,WSB,70,67,33.4,4.1,10.0,.408,0.8,2.7,.288,3.3,7.2,.454,.448,3.2,3.9,.830,0.5,2.1,2.6,6.9,1.4,0.1,2.4,2.0,12.1
4,Mark Aguirre,SF,34,LAC,39,0,22.0,4.2,8.9,.468,0.9,2.4,.398,3.2,6.5,.494,.522,1.3,1.8,.694,0.7,2.3,3.0,2.7,0.5,0.2,1.8,2.5,10.6
5,Danny Ainge,SG,34,PHO,68,1,22.9,3.3,7.9,.417,1.2,3.6,.328,2.1,4.3,.491,.492,1.1,1.4,.830,0.4,1.5,1.9,2.6,0.8,0.1,1.2,2.1,8.9
6,Gary Alexander,PF,24,TOT,11,0,5.0,0.7,1.3,.571,0.0,0.0,,0.7,1.3,.571,.571,0.3,0.8,.333,0.6,0.7,1.4,0.2,0.3,0.0,0.7,0.9,1.7
7,Victor Alexander,C,24,GSW,69,39,19.1,3.9,7.3,.530,0.0,0.2,.154,3.8,7.1,.540,.532,1.0,1.9,.527,1.7,2.8,4.5,1.0,0.4,0.5,1.2,2.4,8.7
8,Eric Anderson,PF,23,NYK,11,0,3.5,0.6,1.5,.412,0.2,0.2,1.000,0.5,1.4,.333,.471,0.5,1.3,.357,0.5,1.0,1.5,0.2,0.0,0.1,0.2,0.8,1.9
9,Greg Anderson,PF,29,DET,77,47,21.1,2.6,4.8,.543,0.0,0.0,.333,2.6,4.8,.545,.545,1.1,2.0,.571,2.4,5.0,7.4,0.7,0.7,0.9,1.2,3.0,6.4
10,Kenny Anderson,PG,23,NJN,82,82,38.2,7.0,16.8,.417,0.5,1.6,.303,6.5,15.2,.429,.432,4.2,5.2,.818,1.1,2.8,3.9,9.6,1.9,0.2,3.2,2.5,18.8
11,Nick Anderson,SG,26,ORL,81,81,34.7,6.2,13.0,.478,1.2,3.9,.322,5.0,9.1,.545,.526,2.1,3.1,.672,1.4,4.5,5.9,3.6,1.7,0.4,2.0,1.8,15.8
12,Ron Anderson,SF,35,TOT,21,2,17.0,1.7,4.1,.407,0.3,1.2,.269,1.3,2.9,.467,.448,0.9,1.1,.826,0.8,1.8,2.5,0.8,0.4,0.1,0.5,0.8,4.6
