
Rk,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1,Zaid Abdul-Aziz,C,25,SEA,58,,30.7,5.6,12.9,.429,,,,5.6,12.9,.429,.429,2.7,3.7,.720,,,11.3,2.1,,,,3.1,13.8
2,Kareem Abdul-Jabbar*,C,24,MIL,81,,44.2,14.3,24.9,.574,,,,14.3,24.9,.574,.574,6.2,9.0,.689,,,16.6,4.6,,,,2.9,34.8
3,Mahdi Abdul-Rahman,PG,29,BUF,72,,33.2,6.3,13.9,.451,,,,6.3,13.9,.451,.451,3.3,4.2,.782,,,3.0,5.6,,,,3.2,15.8
4,Don Adams,SF,24,TOT,73,,28.4,4.3,10.9,.392,,,,4.3,10.9,.392,.392,2.8,3.8,.745,,,6.9,1.9,,,,3.6,11.4
5,Rick Adelman,PG,25,POR,80,,30.6,4.1,9.4,.437,,,,4.1,9.4,.437,.437,1.9,2.5,.751,,,2.9,5.2,,,,2.6,10.1
6,Lucius Allen,PG,24,MIL,80,,29.0,5.5,10.9,.505,,,,5.5,10.9,.505,.505,2.5,3.2,.764,,,3.2,4.2,,,,2.7,13.5
7,Odis Allison,SF,22,GSW,36,,4.6,0.5,2.2,.218,,,,0.5,2.2,.218,.218,0.9,1.7,.541,,,1.3,0.3,,,,0.9,1.9
8,Tiny Archibald*,PG,23,CIN,76,,43.1,9.7,19.9,.486,,,,9.7,19.9,.486,.486,8.9,10.8,.822,,,2.9,9.2,,,,2.6,28.2
9,Dennis Awtrey,C,23,PHI,58,,13.7,1.7,3.8,.441,,,,1.7,3.8,.441,.441,0.8,1.3,.645,,,4.3,0.9,,,,2.4,4.2
10,Dick Barnett,SG,35,NYK,79,,28.6,5.1,11.6,.437,,,,5.1,11.6,.437,.437,2.1,2.7,.753,,,1.9,2.5,,,,2.9,12.2
11,Jim Barnett,PG,27,GSW,80,,27.5,4.7,11.4,.409,,,,4.7,11.4,.409,.409,3.1,3.7,.836,,,3.1,3.9,,,,2.4,12.4
12,Vic Bartolome,C,23,GSW,38,,4.3,0.4,1.6,.254,,,,0.4,1.6,.254,.254,0.1,0.1,.800,,,1.6,0.1,,,,0.6,0.9
13,Elgin Baylor*,SF,37,LAL,9,,26.6,4.7,10.8,.433,,,,4.7,10.8,.433,.433,2.4,3.0,.815,,,6.3,2.0,,,,2.2,11.8
14,Butch Beard,PG,24,CLE,68,,35.8,5.8,12.5,.464,,,,5.8,12.5,.464,.464,3.8,5.0,.760,,,4.1,6.7,,,,3.1,15.4
15,Walt Bellamy*,C,32,ATL,82,,38.9,7.2,13.3,.545,,,,7.2,13.3,.545,.545,4.1,7.1,.585,,,12.8,3.2,,,,3.1,18.6
16,Dave Bing*,PG,28,DET,45,,43.0,8.2,19.8,.414,,,,8.2,19.8,.414,.414,6.2,7.9,.785,,,4.1,7.0,,,,3.1,22.6
17,John Block,PF,27,MIL,79,,19.3,2.9,6.7,.440,,,,2.9,6.7,.440,.440,2.6,3.5,.749,,,5.2,1.2,,,,2.7,8.5
18,Tom Boerwinkle,C,26,CHI,80,,25.3,2.7,6.3,.438,,,,2.7,6.3,.438,.438,1.5,2.3,.656,,,11.2,3.5,,,,3.2,7.0
19,Bill Bradley*,SF,28,NYK,78,,35.6,6.5,13.9,.465,,,,6.5,13.9,.465,.465,2.2,2.6,.849,,,3.2,4.0,,,,3.3,15.1
20,Bill Bridges,PF,32,TOT,78,,35.3,4.9,10.0,.487,,,,4.9,10.0,.487,.487,2.8,4.1,.703,,,13.5,2.5,,,,3.4,12.6
Rk,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
21,Fred Brown,SG,23,SEA,33,,10.9,1.8,5.5,.328,,,,1.8,5.5,.328,.328,0.7,0.9,.759,,,1.1,1.8,,,,1.3,4.2
22,Em Bryant,PG,33,BUF,54,,22.6,1.9,4.1,.459,,,,1.9,4.1,.459,.459,1.4,2.3,.600,,,2.4,3.8,,,,3.1,5.1
23,Austin Carr,SG,23,CLE,43,,35.8,8.9,20.8,.426,,,,8.9,20.8,.426,.426,3.5,4.6,.760,,,3.5,3.4,,,,2.3,21.2
24,Fred Carter,SG,26,TOT,79,,28.0,5.6,12.9,.438,,,,5.6,12.9,.438,.438,2.3,3.7,.621,,,4.1,2.7,,,,3.1,13.6
25,Sid Catlett,SF,23,CIN,9,,4.4,0.2,1.0,.222,,,,0.2,1.0,.222,.222,0.2,1.0,.222,,,0.4,0.1,,,,0.3,0.7
26,Wilt Chamberlain*,C,35,LAL,82,,42.3,6.0,9.3,.649,,,,6.0,9.3,.649,.649,2.7,6.4,.422,,,19.2,4.0,,,,2.4,14.8
27,Jerry Chambers,SF,28,BUF,26,,14.2,3.0,6.9,.433,,,,3.0,6.9,.433,.433,0.8,1.2,.688,,,2.6,0.9,,,,1.5,6.8
