
Rk,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1,Kareem Abdul-Jabbar*,C,35,LAL,79,79,32.3,9.1,15.5,.588,0.0,0.0,.000,9.1,15.5,.589,.588,3.5,4.7,.749,2.1,5.4,7.5,2.5,0.8,2.2,2.5,2.8,21.8
2,Alvan Adams,C,28,PHO,80,75,30.6,6.0,12.3,.486,0.0,0.0,.333,6.0,12.2,.487,.487,2.3,2.7,.829,2.0,4.8,6.9,4.7,1.4,0.9,3.0,3.6,14.2
3,Mark Aguirre,SF,23,DAL,81,75,34.4,9.5,19.6,.483,0.2,0.9,.211,9.3,18.7,.496,.488,5.3,7.3,.728,2.4,3.9,6.3,4.1,1.0,0.3,3.2,3.0,24.4
4,Danny Ainge,SG,23,BOS,80,76,25.6,4.5,9.0,.496,0.1,0.4,.172,4.4,8.6,.509,.499,0.9,1.2,.742,1.0,1.6,2.7,3.1,1.4,0.1,1.2,3.2,9.9
5,Dwight Anderson,PG,22,DEN,5,0,6.6,1.4,2.8,.500,0.0,0.0,,1.4,2.8,.500,.500,1.4,2.0,.700,0.0,0.4,0.4,0.6,0.2,0.0,1.0,1.4,4.2
6,J.J. Anderson,SF,22,TOT,65,2,18.5,2.9,5.8,.501,0.0,0.1,.000,2.9,5.8,.507,.501,1.5,2.7,.571,1.8,2.7,4.5,1.0,1.0,0.3,1.2,2.4,7.4
7,Richard Anderson,C,22,SDC,78,5,16.3,2.2,5.5,.404,0.1,0.2,.368,2.1,5.3,.405,.412,0.6,0.9,.696,1.4,2.1,3.5,1.5,0.7,0.3,1.2,2.2,5.2
8,Tiny Archibald*,PG,34,BOS,66,19,27.4,3.6,8.4,.425,0.1,0.4,.208,3.5,8.0,.435,.429,3.3,4.5,.743,0.4,1.0,1.4,6.2,0.6,0.1,2.5,1.7,10.5
9,John Bagley,PG,22,CLE,68,3,14.6,2.4,5.5,.432,0.0,0.2,.000,2.4,5.3,.448,.432,0.9,1.2,.762,0.3,1.2,1.4,2.5,0.8,0.1,1.7,1.1,5.7
10,James Bailey,PF,25,TOT,75,39,23.5,5.1,10.3,.497,0.0,0.0,.000,5.1,10.3,.498,.497,3.0,4.3,.702,2.3,4.0,6.3,0.9,0.6,0.8,2.6,3.6,13.3
11,Greg Ballard,SF,28,WSB,78,78,36.4,7.7,16.3,.473,0.2,0.5,.351,7.6,15.9,.477,.478,2.3,3.0,.781,1.6,4.9,6.5,3.4,1.7,0.3,2.0,2.3,18.0
12,Gene Banks,PF,23,SAS,81,81,33.6,6.2,11.3,.550,0.0,0.1,.000,6.2,11.3,.553,.550,2.4,3.4,.705,2.7,4.8,7.6,3.4,1.0,0.3,2.1,2.8,14.9
13,Billy Ray Bates,SG,26,TOT,19,3,16.0,2.9,7.6,.379,0.1,0.3,.400,2.8,7.4,.379,.386,0.6,1.2,.500,0.6,0.4,1.0,0.7,0.7,0.2,0.6,1.0,6.5
14,Dave Batton,C,26,WSB,54,5,10.3,1.6,3.5,.445,0.0,0.1,.000,1.6,3.5,.452,.445,0.1,0.3,.471,0.8,1.4,2.2,0.5,0.3,0.2,0.5,1.0,3.3
15,Kent Benson,C,28,DET,21,15,28.5,4.0,8.7,.467,0.0,0.0,.000,4.0,8.6,.470,.467,1.8,2.4,.760,2.5,4.9,7.4,2.3,0.7,0.8,1.7,2.9,9.9
16,Larry Bird*,PF,26,BOS,79,79,37.7,9.5,18.7,.504,0.3,1.0,.286,9.2,17.8,.516,.512,4.4,5.3,.840,2.4,8.6,11.0,5.8,1.9,0.9,3.0,2.5,23.6
17,Otis Birdsong,SG,27,NJN,62,54,30.4,6.9,13.5,.511,0.0,0.1,.333,6.8,13.4,.512,.512,1.3,2.3,.566,0.9,1.6,2.4,3.9,1.4,0.3,1.8,2.5,15.1
18,Rolando Blackman,SG,23,DAL,75,62,31.3,6.8,13.9,.492,0.0,0.2,.200,6.8,13.7,.497,.494,4.0,5.1,.780,1.4,2.5,3.9,2.5,0.5,0.4,1.6,1.5,17.7
19,Charles Bradley,SG,23,BOS,51,5,10.4,1.4,3.5,.392,0.0,0.1,.000,1.4,3.4,.399,.392,0.9,1.8,.511,0.6,0.9,1.5,0.5,0.6,0.5,0.8,1.6,3.6
20,Dudley Bradley,SG,25,CHI,58,11,11.8,1.4,2.7,.516,0.0,0.1,.200,1.4,2.7,.526,.519,0.6,0.8,.800,0.5,1.3,1.8,1.8,0.8,0.2,1.0,1.6,3.5
Rk,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
21,Brad Branson,PF,24,IND,62,2,11.0,2.1,5.0,.425,0.0,0.0,.000,2.1,5.0,.427,.425,1.2,1.7,.704,1.2,1.6,2.8,0.7,0.4,0.4,0.7,1.3,5.5
22,Mike Bratz,PG,27,CHI,15,0,9.3,0.9,2.8,.333,0.1,0.5,.125,0.9,2.3,.382,.345,0.7,0.9,.769,0.2,1.1,1.3,1.5,0.5,0.0,0.9,1.3,2.6
23,Ron Brewer,SG,27,TOT,74,52,26.5,4.6,10.9,.426,0.1,0.2,.389,4.6,10.7,.427,.431,1.9,2.3,.835,0.8,1.1,1.9,1.3,1.2,0.3,1.3,1.7,11.3
24,Junior Bridgeman,SF,29,MIL,70,5,26.5,6.0,12.2,.492,0.0,0.2,.077,6.0,12.0,.498,.492,2.3,2.8,.837,0.6,2.9,3.5,3.0,0.6,0.1,1.7,2.2,14.4
25,Allan Bristow,SF,31,DAL,37,0,10.0,1.2,2.7,.444,0.2,0.4,.462,1.0,2.3,.442,.475,0.3,0.4,.714,0.6,0.9,1.6,1.9,0.2,0.0,0.8,1.2,2.8
